algo,tailleBins,nbElements,binsGenerated,timeElapsed,tauxRemplissage
Next_Fit,100,10.0,8,611281,78,25
First_Fit,100,10.0,7,48820,89,43
Worst_Fit,100,10.0,8,51692,78,25
Best_Fit,100,10.0,7,50051,89,43
Almost_Worst_Fit,100,10.0,7,51693,89,43
Next_Fit,100,100.0,62,129640,75,66
First_Fit,100,100.0,51,499281,91,98
Worst_Fit,100,100.0,56,246564,83,77
Best_Fit,100,100.0,51,291281,91,98
Almost_Worst_Fit,100,100.0,52,146872,90,21
Next_Fit,100,1000.0,646,684717,76,46
First_Fit,100,1000.0,520,6786043,94,99
Worst_Fit,100,1000.0,581,5562660,85,02
Best_Fit,100,1000.0,513,14318342,96,29
Almost_Worst_Fit,100,1000.0,557,24077509,88,68
Next_Fit,100,10000.0,6595,20389309,75,22
First_Fit,100,10000.0,5087,150587713,97,52
Worst_Fit,100,10000.0,5812,57789467,85,36
Best_Fit,100,10000.0,5055,104452795,98,14
Almost_Worst_Fit,100,10000.0,5533,59850593,89,66
Next_Fit,100,100000.0,65707,681019880,75,34
First_Fit,100,100000.0,50051,5197168577,98,91
Worst_Fit,100,100000.0,57835,3074702677,85,60
Best_Fit,100,100000.0,49788,7219052859,99,43
Almost_Worst_Fit,100,100000.0,55255,2509234656,89,60
Next_Fit,100,1000000.0,658825,58588777942,75,19
First_Fit,100,1000000.0,497717,2334593860192,99,53
Worst_Fit,100,1000000.0,579351,937644105053,85,51
Best_Fit,100,1000000.0,496586,2158890051007,99,76
Almost_Worst_Fit,100,1000000.0,552922,743652878376,89,60
